template_idx,sample_num_count,Validity,Uniqueness,Validity*Uniqueness,validity_num,uniqueness_num,Connected_Components,mol_stable,atom_stable,run_time
template0,10,80.00,75.00,60.00,8.00,6.00,100.00,1.00,1.00,276.93
template1,10,90.00,100.00,90.00,9.00,9.00,80.00,0.80,1.00,296.27
template2,10,90.00,77.78,70.00,9.00,7.00,100.00,0.90,1.00,293.00
template3,10,90.00,100.00,90.00,9.00,9.00,90.00,0.90,1.00,293.84
template4,10,100.00,70.00,70.00,10.00,7.00,90.00,1.00,1.00,312.15
template5,10,80.00,100.00,80.00,8.00,8.00,100.00,0.90,1.00,295.56
template6,10,90.00,100.00,90.00,9.00,9.00,90.00,1.00,1.00,327.92
template7,10,100.00,90.00,90.00,10.00,9.00,100.00,1.00,1.00,295.63
template8,10,90.00,66.67,60.00,9.00,6.00,100.00,0.80,1.00,301.89
template9,10,80.00,100.00,80.00,8.00,8.00,100.00,0.80,1.00,303.46
