template_idx,sample_num_count,Validity,Uniqueness,Validity*Uniqueness,validity_num,uniqueness_num,Connected_Components,mol_stable,atom_stable,run_time
template0,20,65.00,84.62,55.00,13.00,11.00,100.00,0.85,1.00,606.70
template1,15,80.00,100.00,80.00,12.00,12.00,100.00,0.93,1.00,487.22
template2,20,75.00,73.33,55.00,15.00,11.00,95.00,0.95,1.00,590.04
template3,30,76.67,43.48,33.33,23.00,10.00,100.00,0.97,1.00,878.82
template4,20,80.00,75.00,60.00,16.00,12.00,100.00,0.90,1.00,603.01
template5,15,100.00,93.33,93.33,15.00,14.00,100.00,1.00,1.00,438.97
template6,15,80.00,83.33,66.67,12.00,10.00,100.00,1.00,1.00,441.48
template7,20,90.00,66.67,60.00,18.00,12.00,100.00,0.90,1.00,577.97
template8,30,100.00,36.67,36.67,30.00,11.00,100.00,1.00,1.00,855.69
template9,15,86.67,100.00,86.67,13.00,13.00,93.33,0.93,1.00,418.44
